Scene Description,Type,Content,Sentiment Score
AARON (CONT'D),Scene,Do you remember Laurie Strode? The Shape stretches his fingers and then rests his hand at his side. Sartain notices. ,0.0
AARON (CONT'D),Scene,"Does she remind you of your sister, Michael? Is that why you chose her? The Shape half turns, as if he's going to respond... but then doesn't. Aaron looks back to Sartain. He nods to Aaron to go ahead. Aaron looks to Dana. She unzips her bag. 6. ",-0.08333333333333333
AARON (CONT'D),Scene,"I borrowed something from a friend at the Attorney General's office. Something I'd like you to see. Aaron's hand goes inside Dana's shoulder bag and pulls out a portion of a WHITE HALLOWEEN MASK. Familiar. Sartain looks to see this exchange. Aaron holds the mask out before him. The Shape makes no movement. The other patients become restless. Pacing madly. Dana looks around, concerned. Aaron doesn't lower the mask. ",-0.06499999999999999
AARON (CONT'D),Scene,"You recognize this, don't you, Michael? How does it make you feel? Say something. A few of the patients start screaming. Testing their restraints like rabid animals. Dana looks to Sartain. He is concerned. More patients join in, stomping and screaming, getting louder and louder. Aaron shouts back to The Shape. ",0.09999999999999999
AARON (CONT'D),Scene,"Say SOMETHING! The courtyard has been worked into a frenzied chorus of madness, but The Shape remains still. ",0.0
MAIN TITLE SEQUENCE:,Scene,,0.0
HALLOWEEN,Character,,0.0
CLOSET. NELSON HOUSE. EARLY MORNING.,Scene,"CAMERA inside a closet with thin wooden slats. A beautiful girl, ALLYSON NELSON (17), appears as the door opens. Her face has a soft innocent quality. Eyes are bright and alive. She pulls the closet light switch string. The LIGHT BULB flickers but doesn't turn on. She pulls the switch again; nothing. She rummage through the shirts and picks out a workout jacket, closing the closet door behind her. 7. ",0.225
ALLYSON'S BEDROOM. NELSON HOUSE. MORNING.,Scene,Allyson makes her bed. The decor of her room is that of a young woman with artifacts of childhood lingering. ,0.1
NEIGHBORHOOD. SUNRISE.,Scene,Allyson goes for a jog. ,0.0
BEND IN ROAD. NEIGHBORHOOD. MORNING.,Scene,"Allyson jogs past a chain link fence in front of a house. A DOG BARKS ferociously. A little startled, she takes a deep breath and continues down the street. ",-0.1482638888888889
COMMUNITY GARDEN. MORNING.,Scene,"Allyson jogs by a residential community garden. Flowers, vegetables, etc. Much of it dead. A BANGLADESHI WOMAN wraps a plant to protect it from the weather of the off season. ",-0.2
KITCHEN. NELSON HOUSE. MORNING.,Scene,"RAY NELSON, 45, opens up a kitchen cabinet and sets a mouse trap with peanut butter. ",0.0
RAY,Character,"You see this? I switched from marshmallow fluff to peanut butter. We'll see if the little devil snatches it. SHANAH NELSON, 38, makes breakfast. She lives life. The beauty and heart behind her eyes is hidden. Allyson enters trying to fix a broken zipper on her school bag. The traffic plays on a radio with lighthearted DISC JOCKEYS. Competing with that, a television is on with an ",-0.25083333333333335
INFOMERCIAL.,Scene,,0.0
SHANAH,Character,"I rescheduled my last session, so I'll be able to make it tonight. ",0.25
ALLYSON,Character,You didn't have to do that. It's not that big of a deal. 8. ,0.0
RAY,Character,Of course it is. You got into National Honor Society. It's a very big deal. ,0.0
(BEAT),Scene,"I was top of my shop class, made ashtrays and birdhouses. Ray loads up another mouse trap. ",0.5
SHANAH,Character,And I'm looking forward to meeting Cameron. ,0.0
RAY,Character,I know his father Lonnie and his uncle James. The entire Elam family has a... reputation. ,0.0
SHANAH,Character,"(shoots a look) Ray, c'mon. ",0.0
RAY,Character,"What?! You know about his situation, right? It's a relevant factor. The whole household is-- The mouse trap snaps in Ray's hand, smashing his finger. Ray jumps, startled. His finger bleeds. ",0.29523809523809524
RAY (CONT'D),Scene,Goddamn it! ,0.0
ALLYSON,Character,,0.0
(LAUGHING),Scene,"That's not fair, dad. Cameron isn't like that. He's a nice guy Ray walks to the sink to wash his finger. ",0.125
RAY,Character,I'm not saying he's not nice. It's just- You're too smart to go out with troublemakers and dip shits. ,-0.04285714285714286
ALLYSON,Character,You're right. ,0.2857142857142857
(BEAT),Scene,Did you guys invite Grandmother like you said you would? Shanah looks to Ray. They make eyes. 9. ,0.0
SHANAH,Character,I did. Talked to her yesterday. She's not going to be able to make it. Allyson zips up her back-pack and give her mom a look. ,0.5
ALLYSON,Character,Really? Ray kisses his hurt finger and gives Shanah a nervous look. ,0.2
SHANAH,Character,She's agoraphobic. In serious need of cognitive... Um... behavioral- A buzzer RINGS. ,-0.3333333333333333
ALLYSON,Character,Vicky's here. I gotta go. Ray turns off the sink and stare awkwardly at his wife. ,-0.6
NEIGHBORHOOD. MORNING.,Scene,CLOSE on a JACK-O-LANTERN. DAVE (17) takes a hit off a joint and blows smoke through the top. It billows through the eyes. Dave get a coughing fit and hustles to keep up with his friends. VICKY (17) walks in front of him. She's an outspoken intellectual. Doesn't take any shit. Allyson walk with them. ,0.25
ALLYSON,Character,My mom is a liar. She told me she invited my Grandmother tonight but she didn't. ,0.0
VICKY,Character,How do you know? ,0.0
ALLYSON,Character,She never even called her. ,0.0
DAVE,Character,That's bullshit. ,0.0
VICKY,Character,What's your mom's deal? Why would she say that? 10. ,0.0
ALLYSON,Character,She just tries to keep me away from her. Says she turns into a nutcase this time of year. ,-0.1
VICKY,Character,"Your grandmother is Laurie Strode. If I were her I wouldn't celebrate either. I'd put up a Christmas tree instead. Just skip over all the spooky Halloween shit, right? ",0.042857142857142844
DAVE,Character,,0.0
(STONED RAMBLING),Scene,"Jumping to Thanksgiving would make sense. Puritans, cornucopias, plagues, starvations, slaughtering the Indians. That stuff isn't creepy at all. ",-0.5
VICKY,Character,Does she ever talk around it? ,0.0
ALLYSON,Character,Pretty much all she talks about. It defines her life. She's been in shock ever since. You should see her house. ,0.225
VICKY,Character,Freaky. ,0.0
DAVE,Character,Wasn't it her brother that killed those baby-sitters? ,-0.2
ALLYSON,Character,No. I think people made up the bit about them being related because it made them feel better. Like it couldn't happen to anyone. ,0.25
VICKY,Character,To have a bunch of your friends get slaughtered by some random crazy person... how awful. ,-0.7000000000000001
DAVE,Character,"Is it though? I just feel like the universe has way worse shit now. One dude just kills a few people, I don't know. 11. ",-0.26666666666666666
VICKY,Character,"Her grandmother is a bad ass and was almost fucking murdered, Dave! ",-0.7249999999999999
DAVE,Character,And she escaped! And he was caught! He's like super incarcerated right now. It's not like the worst thing that has happened to a person. By today's standards. Vikcy stops and turns. ,-0.12698412698412698
VICKY,Character,"Shut up, Dave. Stop talking. ",0.0
DAVE,Character,I'm sorry. I sensed myself going on a rant and didn't know how to eject. Sorry. He sees another jack-o-lantern in front of a house. ,-0.5
DAVE (CONT'D),Scene,Cool if I explode this pumpkinhead? ,0.35
VICKY,Character,"Yes, please. Allyson takes the top off. ",0.5
ALLYSON,Character,"Go for it. Dave lights A firecracker, stuffs it into the jack-o-lantern and plants it on the sidewalk. It starts to sizzle. ",0.0
DAVE,Character,Wooooo! happy Halloween! It EXPLODES as they run away. ,1.0
MAKE-SHIFT SHOOTING RANGE. LAURIE'S PROPERTY. DAY.,Scene,"GROUPED SHOTS strike WITH PRECISION in THE HEART OF A TARGET. Holding a smoking gun, years of anxiety cut through a beautiful face. The dark circles under the eyes show a life filled with lidless nights. This is LAURIE STRODE (57), for better or worse. She's surrounded by wilderness except for the sack with barrels and targets and department store mannequins. 12. She sets the gun down, pulls a bottle of pills out of her pocket and taps one into her mug of coffee. She drinks, wipes her mouth, picks up a different gun. A high power semi- automatic weapon. She fires at the staged mannequins. Their heads and bodies erupt into shrapnel. ",0.15055555555555555
FARM HOUSE. LAURIE'S PROPERTY. DAY.,Scene,Laurie drives an ATV. It rolls to the farm house with a flat tire. She comes to a stop to examine the issue. We notice that the downstairs windows have bars covering up the glass for security. Wind chimes give a tranquil feel to the fortified compound. ,-0.025
FARM HOUSE. LIVING ROOM. DAY,Scene,A SERIES OF SHOTS: Laurie disassembles and cleans her firearms like a pro. She wears a tank top that reveals a scar across her shoulder. ,0.5
COUNTRY ROAD. DAY,Character,A rental car drives down a road through an isolated forest and pulls up to a gate. ,-0.15555555555555559
I./E. RENTAL CAR. DAY,Character,Aaron speaks into a recorder as he drives. Dana holds a map. ,0.0
DANA,Character,What is it we're after? ,0.0
AARON,Character,To see the animal inside its environment. I fear there has been no rehabilitation. In this case it seems one monster created another. A victim locks herself away. Imprisoned by her own fear. Our goal is to get them in a room together. Can we find a form of rehabilitation if she faces him again? ,0.26249999999999996
DANA,Character,Here we are. 13. Aaron and Dana stop the car and look to an intercom next to an overflowing mail box. ,0.0
DANA (CONT'D),Scene,You might want this. She holds out an envelope of cash. ,0.0
AARON,Character,"Journalists don't pay for interviews, Dana. This is her fifteen minutes of fame. There are two people in this world that care about her and they're both in this car. ",0.0
DANA,Character,(noting her file) She's financially unstable. Had every job you can think of for the last forty years from catering to cosmetology. Currently unemployed. ,0.0
LAURIE'S HOUSE. DAY.,Scene,Dirty dishes are overflowing in the kitchen. The rest of her home isn't much better. Books and supplies stacked every where. Laurie cleans a Smith and Wesson revolver. She opens the cylinder and see a SINGLE fastball inside. She takes out the bullet and considers it. She puts it back and spins the cylinder. Engaged. She cocks the hammer. A BUZZ startles her. Laurie eyeballs four black and white security camera monitors. She looks to the arrival of her uninvited guests. ,-0.05634920634920634
GATE ENTRANCE. LAURIE'S PROPERTY. DAY,Scene,A SPEAKER hisses to life. ,0.0
LAURIE (O.S.),Scene,"Can I help you? Aaron struggles to reach the ""press to speak"" button. It's too far so he opens his door just a bit. ",0.1
AARON,Character,Yes. We're looking for Laurie Strode. 14. ,0.0
LAURIE (O.S.),Scene,Who? ,0.0
AARON,Character,My name is Aaron Joseph Korey and- Um... We're working on a um... on a podcast. ,0.0
LAURIE (O.S.),Scene,Good for you. ,0.7
DANA,Character,,0.0
(LEANING OVER),Scene,We're investigative journalists. ,0.0
AARON,Character,If you have a moment. We've travelled a long way to speak with you. No response. ,-0.05
AARON (CONT'D),Scene,We'll pay you for your time. Still nothing. Dana hands Aaron AN ORANGE ENVELOPE. ,0.0
DANA,Character,"How does three thousand dollars sound? After a pause, the gate buzzes open. Dana gives Aaron a look as they drive through the gate. ",0.2
LAURIE'S HOUSE. DAY.,Scene,"Laurie, Aaron and Dana are seated. Dana presses record on her recording device. ",0.0
DANA,Character,You've lived here since 1985. ,0.0
LAURIE,Character,Sounds about right. ,0.2857142857142857
DANA,Character,,0.0
(LOOKS AROUND),Scene,Do you feel isolated? ,0.0
LAURIE,Character,I don't. 15. ,0.0
AARON,Character,You tell yourself that you're protecting your family. That if he come for you again you've distanced yourself from everyone that you love. Laurie doesn't respond. An awkward moment. Dana nods at Aaron and steps in. ,-0.04999999999999999
DANA,Character,"Aaron and I have made several award winning public radio exposes. Our last project shed fresh light on a murder case from twenty years ago. We like to re-examine incidents with an unbiased lens. When people are willing to face a thing in a different light over time, new truths can sometimes emerge. I believe there is a lot to learn from the horror you experienced. ",0.2533057851239669
LAURIE,Character,There's nothing to re-examine. Nothing to learn from something that happened forty years ago. ,0.0
AARON,Character,So is he real? ,0.2
LAURIE,Character,Who? ,0.0
AARON,Character,The Boogeyman. I've read you ,0.0
QUOATED-,Character,,0.0
LAURIE,Character,You don't believe in The Boogeyman? ,0.0
AARON,Character,"I believe in Michael Myers, a deranged serial killer. But The Boogeyman? ",0.0
LAURIE,Character,"Well, you should. ",0.0
AARON,Character,We have archival recordings of Dr. Loomis from after that horrific night. 16. ,-1.0
AARON (CONT'D),Scene,His intellect was overcome with abstract and apocalyptic observations. ,0.0
LAURIE,Character,He just wanted Michael dead and no one would listen. ,-0.2
DANA,Character,Michael Myers is a human being that killed his sister when he was six years old. And then he came after you... We want to know why. We want a glimpse inside his mind. That's why your story be important. ,0.07500000000000001
LAURIE,Character,My story? ,0.0
AARON,Character,Two failed marriages. A rocky family relationship with your daughter and grandaughter. Among other issues... ,-0.3125
DANA,Character,Aaron! Aaron nods to a few empty pill bottles strewn about. ,-0.15000000000000002
LAURIE,Character,It's interesting that Michael killed five people and he's a human being. I'm twice divorced and I'm a basket case. ,0.09999999999999999
AARON,Character,,0.0
(HESITANTLY),Scene,My apologies. Laurie gets up and scavenges aimlessly. ,0.0
LAURIE,Character,"I have nothing but vague, very blemished memories of that night. The insight you're here for does not exist. Aaron nods. ",-0.15
AARON,Character,They're transferring him. 17. ,0.0
LAURIE,Character,I know.   Tomorrow. ,0.0
DANA,Character,He'll be locked away till the end of his days. ,0.0
LAURIE,Character,That's the idea. ,0.0
AARON,Character,Do you surrender any efforts of rehabilitation? ,0.0
LAURIE,Character,-Because everyone knows 40 years is when you typically turn the corner. Dana switches gears. ,-0.16666666666666666
DANA,Character,Let's talk about when the state came to take your daughter away. She was twelve years old. They said you were unfit mother. How long until you regained custody? ,0.025
LAURIE,Character,I didn't. But I bet you know that. Laurie looks out the front door window to the outside. Getting lost in it. ,0.0
AARON,Character,Mrs Strode. We want you to sit down with him. Sit with Michael in a safe environment. He won't talk to anybody... But he might speak to you. Finally you can get the chance to say what you've always wanted to say to him. Come with us. Let us help you free yourself. ,0.18611111111111112
LAURIE,Character,"Time's up. I'll accept my payment. Aaron pull the orange envelope out. He take it to her. She counts it, then opens the front door and looks to the trees. ",0.0
LAURIE (CONT'D),Scene,"With your journalistic insights, I'm sure you'll be able to find your way out. 18. We dawdle on Laurie in a moment of contemplation. ",0.5
HALLWAY. HIGH SCHOOL. MORNING.,Scene,THE BELL RINGS. Allyson closes her locker with a handful of books and turns to be startled by a figure standing behind her. We reveal CAMERON ELAM (17). ,-0.4
CAMERON,Character,,0.0
(DISGUISED VOICE),Scene,Gottcha! Allyson drops her books. ,0.0
ALLYSON,Character,Cameron. Jesus. Cameron helps her pick up her books. ,0.0
CAMERON,Character,"I got you, babe. Do you have everything for your costume tomorrow night? Bonnie and Clyde must roll as one. ",0.0
ALLYSON,Character,I'm just thinking about tonight. ,0.0
CAMERON,Character,Tonight? Come on. I thought you were joking when you said your parents were old fashioned. ,0.1
ALLYSON,Character,Be nice. It'll be nice. I just want you to meet them. I'm more old fashioned than they are. Just don't make them like you too much. I like to keep them on edge. She grin and gives him a kiss.    CLOSE ON THE KISS. ,0.4
OSCAR (O.S.),Scene,"Slow down, Smoochy. Give me a slice. Cameron and Allyson pull apart to reveal OSCAR (17) a fast- talking slime ball with charm. He gives them each a kiss on the cheek. ",-0.0851851851851852
CAMERON,Character,"Dude, you got your chapped lip crusties all over me, man. 19. ",0.0
OSCAR,Character,You have everything for your costume tomorrow night? Tango and Cash must roll as one. Oscar puts on Chap Stick. ,0.0
CAMERON,Character,Um... ,0.0
OSCAR,Character,"What? You said we were going as Sly and Kurt, bro. You said we were doing this Halloween dance thing. What's up? You're ditching me now? Oscar gets Cameron in a headlock and drives him into the wall. Allyson rolls her eyes. ",0.0
ALLYSON,Character,I'll see you lovebirds later. ,0.0
(TO CAMERON),Scene,"And I well see you tonight. She walks off shaking her head with a smile. A girl, KIM, gives her a funny look from across the hall. ",0.275
COMMUNITY CENTER. DAY.,Scene,CLOSE ON Shanah. She leads a discussion for A GROUP OF AT RISK CHILDREN (ages 7-10) that sit with their heads on a table in a counseling session. Each have HOME MADE puppets that speak their emotions. One kid tries to untangle a YO-YO. ,-0.1
CHILD #1,Scene,I'm Bradley and I get angry at the rain. ,-0.5
CHILD #2,Scene,When my brother comes home from school I get scared cuz he brings the guys to fight and throw people through walls. Child #3 puts her marionette down and raises her head. ,-0.15555555555555559
CHILD #3,Scene,If you run away from home then you have no one to hurt you. 20. ,0.0
SHANAH,Character,"We need to look at those who love us for protection and comfort but listen to our feelings. We all have lived through difficult situations and are confronted with bad people from time to time, but by using our voice we can overcome our problems. ",-0.23333333333333328
COMMUNITY CENTER. DAY.,Scene,It's a facility in a run-down neighborhood. MIDDLE AGE COMMUNITY MEMBERS play basketball as kids from Shanah's therapy load onto a VAN ushered away by her assistant. Laurie pulls up in her small pick-up truck. ,-0.125
COMMUNITY CENTER. DAY.,Scene,Shanah stands in her office watching a CHATTERING TOOTH TOY on her desk as she packs up her files. ,0.0
LAURIE (O.S.),Scene,Shanah. I need to talk to you. Shanah takes a final sip off coffee and glances up. Not expecting to see Laurie. ,0.0
SHANAH,Character,Well hello mother.   New glasses? ,0.13636363636363635
LAURIE,Character,Allyson reached out to me- ,0.0
SHANAH,Character,I specifically told you you're not to have any communication with her. ,0.0
LAURIE,Character,I can't control who calls me. She's her own person and she's making her own decisions. ,0.6
SHANAH,Character,What did she reach out to you about? ,0.0
LAURIE,Character,Joining you tonight. 21. ,0.0
SHANAH,Character,Interesting. I guess she hasn't picked up on the fact that you... raised me. ,0.5
LAURIE,Character,I raised you the way I did for your own protection and you're telling me I ruined your life? ,0.6
(BEAT),Scene,"As a mental health care professional, I would hope you could empathize in some way. Shanah leaves her office with an empty coffee mug. ",-0.03333333333333333
SHANAH (O.S.),Scene,I've heard this before. Laurie sinks. ,-0.1
COMMUNITY CENTER. OFFICE KITCHEN. CONTINUOUS.,Scene,"Shanah puts her mug in the dishwasher. Laurie appears, holding the yo-yo the kid was trying to untangle. She untangles it to deflect herself from the issues. ",0.0
LAURIE,Character,Michael Myers is leaving Smith Grove. I've spent years petitioning for his transfer. He'll spend the rest of his life at a prison in Colorado. I'm going to do what I can to put my past behind me. It's been forty years. I just wanted to come here today and tell you that. She takes a moment in attempt to connect. ,-0.25
SHANAH,Character,"I'm happy that you're ready to put your past behind you, but I've got to figure out if I can put our past behind me. Laurie turns to leave. Shanah switch gears. ",-0.05000000000000001
SHANAH (CONT'D),Scene,"Mom, wait. ",0.0
(BEAT),Scene,22. ,0.0
SHANAH (CONT'D),Scene,Allyson is being rewarded at school tonight and then we're going to have a family dinner after. It's important to her. She wants you to come. So... ,0.30000000000000004
(BEAT),Scene,I think you should come. The two strong woman stand in hopeful silence. ,0.4333333333333333
MOTEL ROOM. NIGHT.,Scene,"Aaron and Dana sit in their motel room going over Dr. Loomis' files. They have research articles, essays, forensic exhibits, photos of Laurie and her family, etc. Aaron hits play on a TAPE RECORDER. The recording is old and wobbly-- muffled. ",0.1
STATE DOCTOR,Scene,,0.0
(RECORDING),Scene,"... Dr. Samuel Loomis, January 1979. Do you wish to give a statement regarding your former patient Michael Myers? ",0.0
DR. LOOMIS,Character,,0.0
(RECORDING),Scene,My suggestion is termination. ,0.0
INTERCUT WITH...,Scene,,0.0
CELL. SMITH'S GROVE STATE HOSPITAL. NIGHT,Scene,"A door opens and a slit of light reveals THE SHAPE standing with his back to us, facing the wall. Kuneman enters. He's with a young guard, HASKELL. ",0.16666666666666666
KUNEMAN,Character,"A-2201. Myers, Michael. ",0.0
DR. LOOMIS,Character,,0.0
(RECORDING),Scene,A shot of sodium thiopental would render him unconscious. ,0.0
HALLWAY. SMITH'S GROVE STATE HOSPITAL. DAY.,Scene,The Shape's feet shuffle down the hall. The other patients in line facing the wall CHATTER in their clinical attire. 23. ,-0.14027777777777778
HASKELL,Character,Stand up! Hands up! Shut up! ,0.0
DR. LOOMIS,Character,,0.0
(RECORDING),Scene,"Then a shot of potassium chloride to stop his heart. He would go quietly, without incident. ",0.0
HASKELL,Character,Hands on the wall! Kuneman reads more names from a check-list: ,0.5
KUNEMAN,Character,A-2209 Aaron White... A-2217 Anthony Murphy. A-2243-Jeffrey Neundorf. A LOUD BUZZER sounds. ,0.05
LOADING AREA. SMITH'S GROVE STATE HOSPITAL. NIGHT,Scene,"Kuneman and Haskell walk the line of 12 patients outside, including a wild-eyed man, LYNCH, walking behind The Shape. ",-0.2
DR. LOOMIS,Character,,0.0
(RECORDING),Scene,I'll be with him to make sure his life is ended. My ear on his chest to hear for myself that his vitals no longer function. At that point with the help of a coroner we will extract the brain for our studies and then incinerate the body. The line of patients walk to a SECURE TRANSPORT BUS where AN ARMED DRIVER checks his own list. The patients load on the bus. Doctor Sartain walks up just as The Shape steps up in line. ,0.5
DR. SARTAIN,Scene,"Don't worry, Michael. I'll be by your side. ",0.0
TRANSPORT BUS. CONTINUOUS.,Scene,ANGLE ON A REARVIEW MIRROR as Sartain enters by the Armed Driver sitting at the wheel. 24. Sartain takes notes with his elegant pen and looks down the aisle at the TWELVE PATIENTS in their seats. The Shape sits in a middle seat. ,0.11481481481481481
DR. LOOMIS,Character,,0.0
(RECORDING),Scene,It needs to die. It wants to die! Sartain sits in the seat behind the driver and observes Haskell and Kuneman securing shackles. ,-0.07500000000000001
HASKELL,Character,A-7367 secure. All clear. Kuneman walks to Sartain up front. He shuts the metal barricade that separates the patients from the guards. ,0.25
KUNEMAN,Character,Still not sure why you're here. ,-0.25
DR. SARTAIN,Scene,"Michael Myers is my patient until he is in somebody else's care. I'm seeing my duty through till the end. As Haskell secures Lynch, Lynch starts SCREAMING. Haskell hits him in the gut, and settles him back in the seat. ",0.0
KUNEMAN,Character,"Buckle up, Dr. Sartain. ",0.0
DR. LOOMIS,Character,,0.0
(RECORDING),Scene,There's nothing to be won from keeping evil alive and gestating. Kuneman signals the driver. Sartain flick his pen and watches The Shape gaze out the window as the bus departs. ,-0.45
SMITH'S GROVE STATE HOSPITAL. CONTINUOUS.,Scene,"As the bus drives out the front gate, we REVEAL: Laurie sitting in her car outside the facility. She watches The Shape be driven out. ",0.0
DR. LOOMIS,Character,,0.0
(RECORDING),Scene,"Destruction is the only solution for Michael. A quiet death before it kills again... 25. As the bus disappears, Laurie has a moment to herself. She pulls a bottle of pills out from her purse and takes one. ",0.0
LAURIE,Character,"Put the Boogeyman to bed now, will you Kiddo? She holds her head and watches the security gate close, struggling with the complexity of the moment. ",0.0
MALL/ITALIAN RESTAURANT. NIGHT.,Scene,"Shanah, Allyson, Ray, and Cameron sit in a booth at an Italian joint. Allyson's honor award sits on the table. ",0.0
ALLYSON,Character,You said she was going to come. ,0.0
SHANAH,Character,She said she would. She came to my office. We had a nice talk. ,0.6
ALLYSON,Character,Did you really have a talk? ,0.2
SHANAH,Character,I'm being honest with you. We all have to be truthful from now on no matter how much it might hurt us. ,0.43333333333333335
RAY,Character,"Allyson's grandmother has had some struggles, Cameron. ",0.0
CAMERON,Character,We have a lot of addiction in family too. A lot of troubled individuals. ,-0.5
SHANAH,Character,Can't we have a nice dinner now? Ray nods and looks at Cameron who sympathizes. ,0.6
RAY,Character,"Cameron, do you know I went to school with your father? He used to sell me Peyote. ",0.0
