Scene Description,Type,Content,Sentiment Score
ANDRE (CONT'D),Scene,"You know this could be considered stalking and harassment. Plus, you're sitting in a deadly weapon so that's some felony-type shit right there. No response. ",-0.038095238095238106
ANDRE (CONT'D),Scene,"What?!? Say something then. No response. Andre can't hide his anger anymore. He starts walking the other direction. The car backs up, following Andre in reverse. ",-0.27499999999999997
ANDRE (CONT'D),Scene,,0.0
(TO HIMSELF),Scene,"Calm down, Andre. Don't do it. Don't let him get to you. After a few more steps... ",0.1111111111111111
ANDRE (CONT'D),Scene,"Fuck. 4. Andre, fed up, stops. He approaches the passenger's side window and bangs on it. ",-0.4
ANDRE (CONT'D),Scene,"I'm from Brooklyn, man. If you wanna do something, then let's do something. I'm ready..! Hey, I'm talkin' to you!!! ",0.48828125
SPORTS CAR - CONTINUOUS,Scene,Driver's POV. Andre bangs on the window. ,0.0
SUBURBAN STREET - CONTINUOUS,Scene,Andre bangs harder on the window three times. The car's passenger-side window rolls down. ,-0.1277777777777778
TUTORIAL,Scene,Can you help me find a hotel? Pouvez-vous m'aider a trouver mon hotel? Andre's expression goes from anger to terror. The driver wears a tubular metal medieval knight's helmet with slanted rectangular eye holes. ,-0.35
ANDRE,Character,"Shit. The driver raises a gun with a silencer on it. Andre turns to run but is shot in the back. Stunned, Andre stumbles towards the Shaw's house. The driver exits the car and follows him. ",-0.1
TUTORIAL,Scene,(From inside the car) Can you please call the police? Pouvez-vous s'il vous plait appelez la police? ,0.0
THE SHAW'S HOUSE - FRONT LAWN - CONTINUOUS,Scene,Andre falls in front of the Shaw's lawn. A dart sticks out of his back. He reaches towards the Shaw family. The masked driver approaches calmly Andre drags himself toward the house as everything blurs around him. ,0.15000000000000002
ANDRE,Character,,0.0
(WEAKLY),Scene,,0.0
HELP,Character,Andre passes out as the security light floods the lawn again. 5. ,0.4
THE SHAW'S HOUSE - DINING ROOM - CONTINUOUS,Scene,"The Shaw family eats while Andre lays on their front lawn. This time Richard, buried in his tablet, doesn't notice. the driver lift Andre's limp body and carries him to his car. ",-0.2
JOSHUA,Character,Tony said Mickey's face doesn't move. ,0.0
RICHARD,Character,That's right. Mickey's always happy. ,0.5428571428571429
SUBURBAN STREET - CONTINUOUS,Scene,The driver carries Andre to the car. ,0.0
JOSHUA (O.S.),Scene,Why? ,0.0
RICHARD (O.S.),Scene,Because he hasn't aged in 100 years. The driver plops Andre in the padded trunk. He gets in his car and drives off. ,-0.1
TITLE CARD:,Character,,0.0
"""GET OUT""",Character,,0.0
BROOKLYN PARK SLOPE - DAWN,Scene,The sun rises over the city. Autumn. Beautiful. ,0.85
BROOKLYN LOFT - LIVING ROOM - MORNING,Scene,We move slowly through the small but clean apartment. The walls are decorated with fascinating urban photography. ,0.10333333333333332
BROOKLYN LOFT - BATHROOM - MORNING,Scene,"CHRIS WASHINGTON, 26, a handsome African-American man shuts the medicine cabinet. He's shirtless and naturally athletic. He scrutinizes his reflection with a touch of vanity. 6. ",0.3
STARBUCKS COUNTER - MORNING,Scene,"ROSE ARMITAGE, 28 - Caucasian, brunette with freckles - cool and beautiful like an old Summer Camp crush. Rose looks at pastries through the glass. She can't help but smile. ",0.4666666666666666
BROOKLYN LOFT - BATHROOM - MORNING,Scene,Chris spreads shaving cream onto his face and shaves. He postures a little then nicks himself on the neck. He smirks; deserved that. ,-0.1875
BROOKLYN LOFT - LIVING ROOM - MORNING,Scene,"Chris, clothed, looks out his window through a professional camera. He flips through some striking urban images on the digital display much like the ones framed around his apartment. He is a very talented photographer. Sid, a small black dog, watches him. The BUZZER RINGS. ",0.16166666666666665
BROOKLYN BUILDING - HALLWAY. MORNING,Scene,Chris opens the door. Rose stands outside the apartment with her hands full. She has two coffees and two bags of pastries. Chris smirks. ,0.31666666666666665
ROSE,Character,I couldn't decide... He takes the coffee tray and pulls her inside. They kiss. ,0.0
BROOKLYN LOFT - LIVING ROOM - MORNING,Scene,Rose and Chris have coffee and sweets by the window. The small mound of pastries sits on the coffee table. SID lays on her lap. She strokes him. It's a perfect morning. ,0.45
ROSE,Character,Poor thing. Do you even pet him? ,-0.4
CHRIS,Character,Are you kidding me? When you're not here that dog gets the best fuckin' pets of his life. 7. ,1.0
ROSE,Character,"So, how come whenever I come over, he acts like he's been totally neglected. ",0.0
CHRIS,Character,`Cause he know he's got you wrapped around his little paw. ,-0.1875
ROSE,Character,"oh, really? ",0.2
CHRIS,Character,Yeah. Chris picks up her foot sweetly and massages it. She melts. ,0.35
BROOKLYN LOFT - CHRIS' BEDROOM - DAY,Scene,Chris packs a small bag of luggage. Rose lays on the bed. ,0.175
ROSE,Character,Toothbrush... Deodorant... ,0.0
CHRIS,Character,Check... Check.... Chris puts a cigarette in his mouth. Rose pops up and grabs the cigarette from his mouth and breaks it. Chris tries to feign incredulousness but is amused. ,0.25
CHRIS (CONT'D),Scene,I'm not gonna have one the whole weekend. ,0.2
ROSE,Character,"You quit, remember? ",0.0
CHRIS,Character,I'm nervous. ,0.0
ROSE,Character,Why? They're going to love you. ,0.5
CHRIS,Character,Yeah? How do you know? ,0.0
ROSE,Character,"Let's see, you're smart, sweet, handsome, creative... You're you. ",0.39107142857142857
CHRIS,Character,Good answer. 8. Chris packs in silence for a moment. ,0.7
CHRIS (CONT'D),Scene,Do they know I'm black? Rose is taken aback by the question. ,0.21666666666666667
ROSE,Character,I don't think so. Why? Should they? ,0.0
CHRIS,Character,Seems like you might give them a heads up. ,0.0
ROSE,Character,"Really? Like ""Mom, Dad, my black boyfriend is coming up for the weekend""? ",0.016666666666666677
CHRIS,Character,"You said, I'm the first black guy you'd ever dated. ",0.04166666666666667
ROSE,Character,Yeah...? ,0.0
CHRIS,Character,So this is uncharted territory for them. Rose embraces him. ,0.6
ROSE,Character,"Baby, it's fine. My dad would legit vote for Obama a third time he could. Yes, he will want to talk to you about it, and that will be embarrassing, but they're gonna love you. I promise. Chris nods. She kisses his neck and pulls him to the bed. ",0.3055555555555556
BROOKLYN LOFT - LIVING ROOM - DAY,Scene,Chris turns on the TV for Sid. He and Rose stand by the front door about to leave. ,0.6
CHRIS,Character,Bye. ,0.0
ROSE,Character,See you soon. 9. Rose blows Sid a kiss and they leave. ,0.6
BROOKLYN NEIGHBORHOOD STREET - DAY,Scene,Chris puts his luggage in the trunk and enters the passenger's side of a shiny white BMW X5. ,0.0
BROOKLYN NIEGHBORHOOD STREET - PARKED CAR - CONTINUOUS,Scene,Rose sits in the driver's seat. Chris gets in the passenger seat. Her car is a mess. ,0.2125
CHRIS,Character,How do they even let you in a hospital? ,0.0
ROSE,Character,Shut up. I'm very sanitary at work. She moves some fast food wrappers to the back seat. ,0.13333333333333333
ROSE (CONT'D),Scene,You ready? ,0.2
CHRIS,Character,Yeah. You? ,0.0
ROSE,Character,"Oh, wait. She raises her phone and takes a selfie of the two of them. ",0.0
ROSE (CONT'D),Scene,"Ready. Chris puts his hand on her leg, and they drive off. ",0.2
NEW YORK - CITY - CONTINUOUS,Scene,The car leaves the city. ,0.0
RURAL ROAD - BIRD'S-EYE VIEW - DAY,Scene,We soar over the car as it drives through the beautiful countryside; a road flanked by woods. 10. ,0.85
ROSE'S CAR - DAY,Scene,"Rose hums. Chris, in the passengers seat, looks through his camera at the passing trees. He snaps a test shot. ",0.6
CHRIS,Character,How long has it been? ,-0.05
ROSE,Character,"10 months, so a year basically; longest I've ever been away. Chris takes out another cigarette. Rose promptly grabs it and opens the window. ",0.6
CHRIS,Character,"Whoa... whoa!! Come on! I'm a grown man. If a man says he wants a cigarette, a man should be able ",0.35
TOO- -,Scene,She throws it out the window. ,0.0
CHRIS (CONT'D),Scene,"Okay, so that's like a dollar. You basically just throwin' dollars out the window. ",0.5
ROSE,Character,You shouldn't have bought them. ,0.0
CHRIS,Character,I didn't buy them. Rod... Shit. ,-0.2
ROSE,Character,What? ,0.0
CHRIS,Character,I almost forgot Rod. ,0.0
LAGUARDIA AIRPORT - OUTSIDE THE TERMINAL - DAY,Scene,"ROD WILLIAMS, 26, African American, a stocky TSA agent smokes a cigarette. His cell phone rings. ",0.0
ROD,Character,`Sup? ,0.0
INTERCUT WITH:,Scene,11. ,0.0
ROSE'S CAR - DAY,Scene,Chris sits in the passenger seat and talks on the cell phone. ,0.0
CHRIS,Character,Hey. You at work? ,0.0
ROD,Character,"Yeah. How I'm gonna get in trouble for following standard procedure? Fuckin' Gary out here thinkin' just because a bitch old, she can't hijack an airplane. Chris laughs. ",-0.025
ROD (CONT'D),Scene,"Like you can't hide a bomb in a wheelchair? Watch, Chris, the next 9/11 is gonna be on some geriatric shit. ",-0.1
CHRIS,Character,"Look, man, real quick. You good to watch Sid this weekend right? ",0.49523809523809526
ROD,Character,"What? You think I forgot? Damn `C', give your boy a little credit. I don't forget shit; you do. ",-0.19375
CHRIS,Character,You're right. My bad. ,-0.20714285714285707
ROD,Character,Apology accepted. How's `Lil Miss Rosie? ,0.0
CHRIS,Character,She's good.-- Rose takes the phone. ,0.6499999999999999
ROSE,Character,"Hi, Rod. ",0.0
ROD,Character,Whattup babygirl? You better bring my boy back in one piece. 12. ,0.25
ROSE,Character,I don't even know what that means but yes I promise. ,0.0
ROD,Character,You know you picked the wrong guy though right? ,-0.10714285714285715
ROSE,Character,It's not too late for us is it? Chris takes the phone back. ,-0.15
CHRIS,Character,"Okay, get your own girl. ",0.55
ROD,Character,"Damn, I never seen you like this. Meeting the family and everything? What does she do lick your ass? ",0.0
CHRIS,Character,No! What the fuck is wrong with you? ,-0.45
ROD,Character,That's it! First girl licks your ass and you done. Just... Rod makes a WHIPPING SOUND. ,0.325
CHRIS,Character,You need help. ,0.0
ROD,Character,Yeah I do. I need your girl to introduce me to one of her freaky deaky boarding school friends. ,0.0
CHRIS,Character,,0.0
(LAUGHING),Scene,"I'll see what I can do. Oh, and I'll kick you some cash for watching Sid. ",0.0
ROD,Character,"Come on, son! I don't need your money. I got you! ",0.0
CHRIS,Character,"Thanks, man. ",0.2
ROD,Character,You better not come back all bougie on me tho-- 13. Chris hangs up. He gives Rose a look. ,0.3666666666666667
ROSE,Character,What..? Settle down. You know I'm yours. After a beat he puts another cigarette in his mouth. ,-0.15555555555555559
ROSE (CONT'D),Scene,No! ,0.0
CHRIS,Character,Last one! She goes for it. He dodges playfully and tickles her causing her to cackle. A shadow darts across the road in front of the hood of the car. It's hind legs SMACK the hood of the car with a loud THWAT-THWAT. It's propelled into the woods at an awkward angle. The CAR SCREECHES to a halt. Chris and Rose breathe hard for a few moments of shock. ,-0.06527777777777778
ROSE,Character,Fuck! ,-0.5
CHRIS,Character,You okay? ,0.5
ROSE,Character,Yeah. You? ,0.0
CHRIS,Character,Yeah. That scared the shit out of me. ,-0.2
RURAL ROAD - CONTINUOUS,Scene,Rose gets out of her car and inspects the damage. Chris gets out as well. There's a small bloody dent in the hood. ,-0.15000000000000002
ROSE,Character,Fuck!!! Chris looks back in the direction of the collision. ,-0.390625
CHRIS,Character,Stay here. ,0.0
ROSE,Character,What are you doing? 14. ,0.0
CHRIS,Character,I don't know... See if it's okay? Chris walks a few more steps then stops. He rethinks. ,0.26666666666666666
CHRIS (CONT'D),Scene,"Maybe it's gone-- A guttural, almost human, MOAN OF PAIN comes from in the woods behind them. They watch the woods in horror. Chris walks back towards the haunting wail. It stops. ",-0.13333333333333333
ROSE,Character,Chris...? Chris motions for Rose the stay. He keeps walking towards the thicket about 60 ft behind the car. ,0.09999999999999998
ROSE (CONT'D),Scene,"Be careful! Chris gathers his courage and takes a step toward the thicket. The Moan starts again, but much loader and closer than Chris realized. He's startled. Chris peers through the bushes. The deer lays there gasping for breaths and watching him with a black wet eye. Chris is transfixed. ",-0.04791666666666666
ROSE (CONT'D),Scene,Do you see it? Chris snaps to. He nods and takes out his phone. ,0.0
UPSTATE NEW YORK ROAD - DAY,Scene,"A cop car is now pulled up to where the deer was hit. OFFICER FROSTIE - Caucasian - 33 stands near the deer. Another officer, OFFICER CROW - 40 - Caucasian with a patronizing smirk, stands by the driver's side window of Rose's car which Rose and Chris are both back in. ",0.32499999999999996
ROSE'S CAR - CONTINUOUS,Scene,,0.0
OFFICER CROWE,Character,So in the future the number to call is Animal Control Services. Rose doesn't like the way he's looking at them. 15. ,0.3
CHRIS,Character,Right. That makes sense. ,0.2857142857142857
OFFICER CROWE,Character,You two coming up from the city? ,0.0
CHRIS,Character,Yeah. ,0.0
OFFICER CROWE,Character,And what brings you up-- ,0.0
ROSE,Character,I'm from here. The Lake Pontaco area? We're going home. ,0.0
OFFICER CROWE,Character,,0.0
(TO CHRIS),Scene,You got a driver's license? ,0.0
CHRIS,Character,"Oh... yeah. Chris gives Rose a ""see?"" Look as he gets his license. ",0.6
CHRIS (CONT'D),Scene,"I mean, I don't have a driver's license, I have a state I.D. ",-0.3125
ROSE,Character,I was driving. ,0.0
OFFICER CROWE,Character,I didn't ask who was driving. I asked him for his I.D. ,0.0
ROSE,Character,My boyfriend shouldn't have to show you his I.D. because he hasn't done anything wrong. ,-0.5
OFFICER CROWE,Character,"Ma'am, any time there is an ",0.0
INCIDENT--,Scene,,0.0
ROSE,Character,"No, fuck that! ",0.25
CHRIS,Character,Baby. It's okay-- ,0.5
ROSE,Character,,0.0
(TO CROWE),Scene,"It's bullshit, and you know it. 16. There is a tense silence. Officer Crowe's walkie chimes in. ",-0.3333333333333333
OFFICER FROST (O.C.),Scene,Everything alright up there Crowsie? Officer Crowe stares Rose down. After a moment he presses his walkie button. ,0.2222222222222222
OFFICER CROWE,Character,"Yeah, I'm all good. He hands Chris his I.D. ",0.7
OFFICER CROWE (CONT'D),Scene,You guys be careful. ,-0.1
RURAL ROAD - DAY,Scene,The car winds through a thickly wooded road. ,-0.30000000000000004
ROSE'S CAR - AFTERNOON,Scene,Chris sits in the passenger's seat deep in thought. He watches Rose with a new awe. Rose notices. She shrugs. ,0.3340909090909091
ROSE,Character,What? I'm not gonna let anyone fuck with my man. ,-0.4
CHRIS,Character,"That was some ride or die shit, baby. I like that. Rose smiles at him. ",0.19999999999999998
ROSE,Character,We're here. ,0.0
ARMITAGE ESTATE - AFTERNOON,Scene,"The woods give way to an huge front lawn. A large mansion sits in the middle. Thick forest surrounds the estate except for one side which is the edge of a lake. The property feels expensive and isolated; no other houses in sight. As they drive through the large front lawn, Chris sees WALTER, African American 35 in the distance facing away. Walter wears a gardening hat and trims hedges. He works slowly and methodically. 17. ",-0.02089285714285715
ROSE,Character,,0.0
(TO CHRIS),Scene,"That's the grounds-keeper... I think his name is Walter. Rose parks in front of the house, and. He has a pleasant smile. Rose gets out of the car and waves. ",0.5583333333333333
ROSE (CONT'D),Scene,Hi! Walter turns and waves back. Chris gets out and waves too. ,0.0
CHRIS,Character,,0.0
(TO WALTER),Scene,"Hey! What's up? Walter waves silently. Odd. As Chris gets the luggage from the trunk, Rose runs to the front door and RINGS the DOORBELL. FOOTSTEPS. The door swings open revealing... DEAN ARMITAGE, 59, a tall, balding, barrel-chested, bear hug of a man. Though clearly smart, Dean has an endearing cockiness and a bad case of Dad humor. He is the kind of guy who pronounces garbage, Gar-bahge. And... MISSY ARMITAGE, 56, A beautiful beacon of intellectual patience. She is poised and warm; relaxed and in control. They stand in the shadows of the doorway smiling. Rose hugs her parents. ",0.32402597402597405
ROSE,Character,Hi!!! ,0.0
DEAN MISSY,Character,There's my girl! Hello sweetheart. ,0.0
ROSE (CONT'D),Scene,I miss you guys. ,0.0
MISSY,Character,"We miss you, Ro Ro. Chris approaches with the bags. ",0.0
CHRIS,Character,Hi. ,0.0
ROSE,Character,"Chris, these are my parents. Mom, Dad, this is Chris. 18. ",0.0
CHRIS,Character,Good to finally meet you... Chris holds his hand out. ,0.35
DEAN,Character,Mr. Armitage will do. ,0.0
CHRIS,Character,Sure. ,0.5
DEAN,Character,I got him. ,0.0
(TO CHRIS),Scene,Come here. Dean grabs Chris' arm and pulls Chris in tight. ,-0.17857142857142858
DEAN (CONT'D),Scene,"Call me Dean. We hug around here, Fella. ",0.0
CHRIS,Character,Alright. ,0.0
DEAN,Character,My wife Missy. ,0.0
CHRIS,Character,I've heard so much about you guys. Missy holds Chris' shoulders and examines his face and chest. ,0.2
MISSY,Character,"Yes, you'll do just fine. So handsome. ",0.45833333333333337
ROSE,Character,Can we get inside before you guys start embarrassing me? ,0.0
MISSY,Character,"Of course, come inside, make yourself at home. ",0.0
CHRIS,Character,"I'm fine with the embarrassing by the way; go ahead. Missy and Dean laugh. The four enter the house. Missy shuts the door behind them. Outside, Walter watches as his smile fades away. He slowly turns and goes back to work. 19. ",0.04523809523809524
ARMITAGE LIVING ROOM - DAY,Scene,"A wonderful house looms ahead. The interior is worldly and interesting; clean and homey. Several paintings of castles and medieval battles accent the walls. Taxidermy. One wall is all bookshelf, and there is a fireplace. Above the fireplace is a large hauntingly beautiful portrait an old man and woman. ",0.33677248677248683
CHRIS,Character,Wow. ,0.1
DEAN,Character,"""Wow"" is good. We'll take wow. ",0.3
CHRIS,Character,"I grew up in a one bedroom, so for me, this is ridiculous. ",-0.3333333333333333
DEAN,Character,It ought to be. Lord knows we've done enough work on it through the years... ,0.0
MISSY,Character,(To Rose and Chris) How was the ride in? ,0.6
ROSE,Character,We hit a deer. ,0.0
DEAN MISSY,Character,Oh no! Where? ,0.0
ROSE (CONT'D),Scene,I don't know. Down around Lyons road? ,-0.15555555555555559
CHRIS,Character,It came out of nowhere. ,0.0
MISSY,Character,Are you guys okay? ,0.5
CHRIS ROSE,Character,Yeah. Yeah. It just fruck us out. ,0.0
MISSY (CONT'D),Scene,I bet. ,0.0
DEAN,Character,You know what I say. One down... a few hundred thousand to go. Dean snickers. 20. ,-0.1777777777777778
MISSY ROSE,Character,Dean. So awful! Dad. ,-1.0
DEAN (CONT'D),Scene,"What?! Those things are everywhere up here, Chris; like rats. The damage they've done to the ecology alone... Anyway, are we ready for the grand tour? ",0.35
MISSY,Character,Let them unload their bags first. ,0.25
DEAN,Character,Leave `em. Walter will get `em. ,0.0
ROSE,Character,"I think we'll manage, Dad. ",0.0
ARMITAGE UPSTAIRS HALLWAY - DAY,Scene,Rose and Chris take their bags upstairs. ,0.6
ARMITAGE HOUSE - ROSE'S BEDROOM - DAY,Scene,"Rose's old room is preserved in the state of a young-minded teenage girl. Lots of pink and dated boy band posters, a stuffed lion. A window overlooks the front lawn. Rose and Chris place their bags down. ",0.17407407407407405
ROSE,Character,,0.0
(SARCASTIC),Scene,You think they wish I was still a kid? ,0.0
CHRIS,Character,I cannot believe they kept it the same. Chris looks at some pictures posted on her dresser. ,0.0
ROSE,Character,So... ,0.0
CHRIS,Character,They're great. ,0.8
ROSE,Character,Yay. 21. ,0.0
CHRIS,Character,"No, they're totally sweet. ",0.35
ROSE,Character,I told you they'd love you. He sees a picture of Rose in high school on stage in a production of `The Crucible.' ,0.42
CHRIS,Character,What?! Is this you? ,0.0
ROSE,Character,"""The Crucible."" I was Abigail. ",0.0
CHRIS,Character,I didn't know you acted. ,0.0
ROSE,Character,There's a lot you don't know about me. Rose grabs Chris by the belt and pulls him to the bed on top of her. They kiss. She goes for his fly. ,0.6333333333333334
CHRIS,Character,"Wait, what about the tour? ",0.0
ROSE,Character,"""The tour?"" Are you serious? ",-0.3333333333333333
CHRIS,Character,We just got here. I don't wanna be disrespectful... ,0.0
ROSE,Character,Who gives a fuck? Be disrespectful. He stops her. ,-0.4
CHRIS,Character,I'm serious. Later. ,-0.16666666666666666
ARMITAGE DOWNSTAIRS HALLWAY - DAY,Scene,Dean and Chris walk and look at pictures on the wall. Rose and Missy catch up in the living room. ,0.6
DEAN,Character,Frankenstein's monster. Only pieces of the original structure remain; I like to think the soul is in tact though. 22. They keep walking. ,0.1875
DEAN (CONT'D),Scene,"There are seven bedrooms, ten bathrooms, three indoor dining areas, two study's, two main kitchens. There's an observatory wing on the top floor. And you'd be hard pressed to find a room that doesn't serve as library. Chris zones in on a photograph taken in the 90's in front of the Armitage house. Dean and Missy are younger, and Rose and her brother Jeremy are kids. ",0.16249999999999998
DEAN (CONT'D),Scene,That's Jeremy. Rose's brother. He's in Med school. ,0.6
CHRIS,Character,I've heard stories. ,0.0
DEAN,Character,He went through a couple dark spots but came out the other side. You'll meet him later. ,-0.09166666666666667
CHRIS,Character,"Oh, cool. Dean points out the older couple in the picture, the same from the portrait in the living room; GRANDPA and GRANDMA. ",0.1722222222222222
DEAN,Character,Mother and Father lived here till the end. They died a few years ago now. Passed away within weeks of each other... ,-0.1625
CHRIS,Character,I hear that happens a lot. ,0.0
DEAN,Character,"""Love"" is a powerful thing. They move down the hallway to a black and white framed picture of a 25 year old man posing in the starting position for a race. ",0.08253968253968255
DEAN (CONT'D),Scene,My Dad was a runner. A good runner; great sprinter. 23. ,0.75
DEAN (CONT'D),Scene,"Oh, In fact, you might find this interesting, he was just beat out by Jessie Owens in the qualifying round for the `36 Olympics in Berlin. That's the one where-- ",0.15
CHRIS,Character,--Owens won in front of Hitler. ,0.0
DEAN,Character,You know your history. ,0.0
CHRIS,Character,Not really. That one always just stood out in my mind. ,-0.1
DEAN,Character,"Of course. One of those perfect moments. There's Hitler on his high horse with his perfect Aryan race, and here comes this black guy to prove him wrong on the world's stage. What a moment. ",0.2986666666666667
CHRIS,Character,"Yeah, tough break for your father though. ",-0.3888888888888889
DEAN,Character,He almost got over it. Dean winks. ,0.0
HOUSE - MISSY'S OFFICE - DAY,Scene,"Dean opens the door to the office. He and Chris stand outside the door as Dean reaches in to turn on the lights. In front of the desk two comfortable-looking chairs face each other. Books line the walls, and are stacked everywhere. Dean and Chris don't enter. A white cat laying next to a teacup wakes up on the desk. ",-0.03125
DEAN,Character,Okay Snowbell just looking. ,0.5
(TO CHRIS),Scene,Missy's office. This is where she takes appointments. ,0.0
CHRIS,Character,She's a Therapist right? ,0.2857142857142857
DEAN,Character,Yeah. One of the best in the world. Not a tidy woman. 24. ,0.35
CHRIS,Character,Like mother like daughter. Dean Cackles. ,0.0
ARMITAGE HOUSE - HALLWAY - DAY,Scene,,0.0
CHRIS,Character,And you're a surgeon? ,0.0
DEAN,Character,"A neurosurgeon; was. I retired early. Now, I pretty much focus on the house and twiddle my thumbs. Dean and Chris pass a closed door. ",0.11250000000000002
DEAN (CONT'D),Scene,"Oh, downstairs is the wine cellar, the games room, some storage. Apparently a black mold issue down there. Almost everything needs to get thrown out; shame. ",-0.16111111111111112
ARMITAGE KITCHEN - DAY,Scene,"Dean and Chris continue their walk-through. The kitchen is large, homey and pristine. Large windows overlook the backyard. GEORGINA, African American, 30 stands facing a wall. She is still. ",0.10714285714285714
DEAN,Character,"My mother loved her kitchen. Upon hearing them, Georgina comes alive. She resumes cleaning the kitchen. ",0.39999999999999997
CHRIS,Character,That view. ,0.0
DEAN,Character,"Oh, Georgina, this is Chris; Rose's boyfriend. Georgina turns to them. She has the same eerie smile as Walter. Like she's masking something. ",0.09999999999999999
CHRIS,Character,Hi. ,0.0
GEORGINA,Scene,Hello.- 25. ,0.0
DEAN,Character,Ah ha! But now for the piece de resistance... Dean opens the glass back door. ,0.0
BACKYARD - LATE AFTERNOON,Scene,The yard is huge and the woods beyond it ominous. The wind RUSHES through the trees. Dean leads Chris out through the yard towards a gazebo. ,0.4000000000000001
DEAN,Character,"Badminton and bocce ball, croquet; we're a family who loves games. Two other families have properties on lake Pontaco, and they're way on the other side. Total privacy. Chris is distracted by Walter who prepares the lawn mower in the distance. ",-0.08333333333333333
DEAN (CONT'D),Scene,I know what you're thinking. ,0.0
CHRIS,Character,Yeah? ,0.0
DEAN,Character,Well-to-do white family; black servants... ,-0.08333333333333333
CHRIS,Character,I wasn't gonna go there. ,0.0
DEAN,Character,You didn't have to. We hired them a few years ago to help care for my parents; they became part of the family. Couldn't bear to let them go. I hate the way it makes us look though... ,-0.5
CHRIS,Character,Hey. People need work. ,0.0
DEAN,Character,Yeah. They arrive at an outdoor patio. Dean stops Chris from stepping on a dead sparrow. 26. ,-0.2
DEAN (CONT'D),Scene,"Well, crap. ",-0.8
(CALLING),Scene,Walter! Walter turns to face them. He has that same eerily mild smile. Vacant in its sincerity. ,0.2111111111111111
DEAN (CONT'D),Scene,Another dead bird! ,-0.25
(TO CHRIS),Scene,Damn things fly into the patio from time to time; break their necks. Walter nods slowly. Dean gently kicks the bird's carcass out of their way. ,0.2333333333333333
DEAN (CONT'D),Scene,Iced tea? ,0.0
OUTDOOR PATIO - DAY,Scene,"Dean, Missy, Chris and Rose sit with iced teas. ",0.6
MISSY,Character,,0.0
(TO CHRIS),Scene,Rose tells us your parents aren't with us. ,0.6
CHRIS,Character,My Dad was never really in the picture. My mom passed away when I was 11; She was hit by a car. ,-0.1
