Scene Description,Type,Content,Sentiment Score
WILL,Character,"You're the Captain, ain't   ya? Captains call their boats   she. Now put on your rain stuff or   you'll wind up stuck in bed like   your stupid brother. They both grin, the cozy room full of cheerful brotherly love. George kisses Will on the cheek, startling him. ",-0.04166666666666665
GEORGE,Character,"Thanks, Willy. He goes. Will looks to the rain-lashed window, piano still playing. He's suddenly filled with a sense of foreboding. ",0.30000000000000004
WILL,Character,Be careful out there! 5. ,-0.125
WITCHAM STREET - DAY,Scene,"A DEAD TRAFFIC LIGHT sways overhead, its dripping black lenses gazing back at A BOY IN A YELLOW SLICKER AND RED ",0.005555555555555559
GALOSHES.,Scene,"Georgie races down the street past dark houses after his PAPER BOAT, which sluices along a gutter swollen with rushing rainwater. Rain taps on George's hood sounding to his ears like rain on a shed roof, a comforting almost cozy sound. The buckles of his galoshes make a merry jingle as he goes. The boat whistles past a blockade of sawhorses marked DEPT OF DERRY PUBLIC WORKS, where a gouge in the blacktop sends it sweeping diagonally across toward a STORM DRAIN. George races after, trying to grab the boat before it's swallowed up with all the rainwater. He SLIPS AND SPILLS to the blacktop, crying out in pain. The PAPER BOAT surfs up to the drain, circles around twice, and goes in. George look ready to cry. ",-0.050555555555555555
GEORGE,Character,"Willy's gonna kill me. He walks over to the drain and peers in, water falling into darkness. A dank hollow sound comes from within. Suddenly EYES PEER BACK AT HIM -- from THE GREASY WHITE FACE OF A CLOWN. Not Bozo, or Ronald McDonald, but something more old world, freakish, like that of a 19th-century acrobat -- bald, lithe, almost child-like. Meet PENNYWISE aka BOB GRAY. George recoils back, shocked by Pennywise's presence. A VOICE, a perfectly pleasant and reasonable voice, rises up. ",0.10303030303030303
PENNYWISE (O.C.),Scene,"Hello, Georgie. George looks around him. An OLD WOMAN watches him from the kitchen window of a house just behind the drain. : POV from the OLD WOMAN's house. She turns her attention back to her cat, scraping out the wet innards of a can of tuna into a plate on the window sill. ",-0.06000000000000001
PENNYWISE (O.C.) (CONT'D),Scene,"Lost something? 6. George expression mellows from fear to child-like wonder, like he's seeing a circus bear balanced on a ball . ",0.0
GEORGE,Character,How did you get down there? ,-0.15555555555555559
PENNYWISE,Character,"Me? Why the storm of course. Just bleeeew me away. It blew the whole circus away. How'd you like to join the circus, Georgie? The faint, off-key sound of CALLIOPE MUSIC can be heard. George inches closer to the storm drain. ",0.03333333333333335
GEORGE,Character,Is there cotton candy? ,0.0
PENNYWISE,Character,"Cotton candy? Oh yes. Cotton candy and bearded women and elephant shit and all the balloons a little boy could want. You like balloons, don't you Georgie? ",-0.19375
GEORGE,Character,I sure do. Do they float? George takes one last fatal step forward. ,0.25
PENNYWISE,Character,"Float? Oh indeed they do, Georgie. Indeed they do. Everything down here floats. And when you're down here with us... The clown's sing-songy voice curdles into something horrible, primal even, as George's arm is seized by Pennywise's unusually LONG arm and CLAW-like hand. ",-0.3402777777777778
PENNYWISE (CONT'D),Scene,,0.0
YOU'LL FLOAT TOO!,Scene,"George's SCREEEEEAAAAAM rings through the sewers as we... the OLD WOMAN's POV again. The cat devours its food, the old woman pleased with his appetite does not notice... RACK FOCUS... Georgie's rag doll body flung left and right as Pennywise feeds on him and tries to pull him through the metal grate into the sewer. ",0.14761904761904762
SMASH :,Character,"7. Soaring, percussive MUSIC crescendos over a wide shot of glacier-cut mountains. Then, SILENCE. ",-0.1
TITLE CARD:,Character,,0.0
JUNE 1988,Scene,,0.0
DERRY - AERIAL - SAME,Scene,"PAN OFF glacier-cut mountains to reveal the TOWN OF DERRY, MAINE, settled on a crosscut of the Penobscot River and Kenduskaeg stream. It's a sturdy, picturesque Northeastern town like any other, its rough-hewn industrial past bleeding through a gentrified, decaying present. TILT STRAIGHT DOWN to HANLON ABATOIR SEVERAL multi-acre, manure filled sheep pens stand empty. One has 50 sheep ready for slaughter, a path leading from the pen grows narrower as it feeds into an industrial complex designed for slaughter. ",-0.013055555555555556
"HANLON ABATTOIR, OUTDOOR PEN - DAY",Scene,LEROY HANLON (50s) works to move the sheep into line while his son MIKE HANLON (13) watches from behind him. ,-0.4
LEROY,Character,Open the gate. ,0.0
MIKE,Character,"I'm sick of this, dad. ",-0.7142857142857143
LEROY,Character,People need to eat.   Now open the gate. Mike opens the gate. ,0.0
MIKE,Character,"How would you feel if you were one of them? Leroy, haunted by this thought answers gruffly- ",0.0
LEROY,Character,"Humans aren't raised to be food. 8. As if he were lying, that humans sometimes ARE raised for food. The sheep flood into a thinner pathway leading to the interior of the complex. Leroy watches them as does Mike. ",-0.3
MIKE,Character,"Everyday, watching them stupidly walk into that killing pen. This isn't a normal kid's life. You won't even let me go to school. ",-0.2833333333333333
"HANLON ABATOIR, SLAUGHTER PEN - DAY",Scene,"Leroy takes the cattle bolt, places it on the head of the first sheep. WOOMPH. The sheep drops dead. ",0.024999999999999994
LEROY,Character,"Now why would you want to be in public school with the rest of those people down below, in Derry? He hands it to Mike, expectantly. Mike dispassionately takes the mechanism and approaches a sheep. ",-0.07777777777777779
MIKE,Character,"Because I want to be in boring classes with other boring kids and draw pictures in text books and play baseball and go to dances and grind. He places it on the head of the next sheep, but can't bring himself to pull the trigger. Leroy does it for him.   WOOMPH.   The sheep drops dead. ",-0.465
LEROY,Character,"I know, son. I get it. But you aren't like those people. We may work with sheep, but those people are sheep. Trust me. The last point Leroy believes in like gospel. ",0.0
A SCHOOL BELL RINGS,Scene,,0.0
DERRY MIDDLE SCHOOL - DAY,Scene,"Doors fling open and ROWDY 6TH, 7TH, and 8TH GRADERS spill out. Books are hurled in the trash, papers strewn all over the recess yard -- summer is officially commenced. 9. Swept up among this madness is... ",0.0
WILL DENBROUGH (13),Scene,"Handsome, gangly, red-headed, the memory of his brother still fresh. He walks with his dorky friends, all talking over each other: EDDIE KASPBRAK, his EPI-PEN JR. (an adrenaline injector for kids with life-threatening allergies) holstered in his medicine-filled fannypack; STAN URIS (12), a trim and tidy Jewish kid who dresses like a mini-accountant; and RICHIE TOZIER, the neighbor with the walkie-talkie, a comic book and video game freak with bug-eye glasses. ",0.16071428571428573
EDDIE,Character,So how's it work? ,0.0
STAN                           RICHIE,Character,What work?                        So long suckas! Richie flips off the school. ,-0.0625
WILL,Character,Richie! ,0.0
EDDIE,Character,The ceremony. Your Bar Mitzvah. ,0.0
WILL,Character,It makes you officially a man right? ,0.2857142857142857
STAN                             RICHIE,Character,Kind of. I read verses. From      Then a seventh dimensional the Torah.                        door opens up and Stan here has to slay his Ronin master over a pit of death. He wins his schlong grows like six inches. ,0.44999999999999996
STAN,Character,"Shit, I don't need a Bar Mitzvah for that. Richie howls. ",-0.2
WILL,Character,Just your mom's Cosmo. ,0.0
EDDIE,Character,Marie Claire. 10. ,0.0
RICHIE,Character,"Vogue man. It's all perfumed. I put on my 3-D glasses and it's like you're there. Richie ""motor boats"" the air in front of him. ANGLE on a GROUP OF fashionably dressed GIRLS NEARBY. The bigger, heavier one of the group notices someone off screen. ",0.0
GIRL #1,Scene,"There's the ho-bag, now. PAN to see BEVERLY MARSH (13) a dazzling cloud of auburn hair and lovely green-gray eyes. Her clothes aren't as nice as the group of popular girls, but she holds her head high. ",0.522
GIRL #2,Scene,She's the one all the eighth grade boys talk about. ,0.0
GIRL #1                     GIRL #1 (CONT'D),Scene,"They say she gives the best     Probably the only way she can bjs.                            afford those rags she wears. Give me your rings, Gretta. Beverly sees the girls as Girl #1 puts Gretta's rings on her fingers. Sensing trouble, she turns around and ducks right back into school. ",0.21714285714285717
GIRL #1,Scene,"Hey cock breath, come here! PAN back to WILL and his dorky friends.   Eddie stops dead, ",-0.1
POINTING TO-,Scene,,0.0
EDDIE,Character,"Jesus, she's still here? The RABBI'S WIFE, sleepless and desperate, lurks on the edge of school property, scanning the throngs of departing kids with desperate eyes. Next to her, a FRONT LAWN MARQUEE reads: ",-0.39999999999999997
REMEMBER THE CURFEW.,Scene,,0.0
7 P.M.,Scene,,0.0
DERRY POLICE DEPARTMENT,Character,,0.0
STAN,Character,What do you think she's thinking? ,0.0
WILL,Character,Maybe she expects her son to just walk out of the school with the rest of us. 11. ,0.0
RICHIE,Character,"Yeah right, Dorsey Coen's been living in home ec these last three weeks. ",0.14285714285714285
EDDIE,Character,They're not going to find him. ,0.0
RICHIE,Character,"Sure they will. In a ditch. All decomposed, covered in worms and maggots and smelling like your ",0.5
MOM'S--,Scene,"Richie is CHECKED TO THE PAVEMENT by TRAVIS BOWERS (16), a sadistic tower of muscle. His glasses fall off and a pile of comics and video game magazines spill from his back pack. ",-0.2
TRAVIS,Character,"Sorry chode. Didn't see you. Travis kicks the glasses away. His thug sidekicks laugh: SNATCH HUGGINS (15), PATRICK HOCKSTETTLER (17) and VICTOR CRISS (15) -- one a lunkhead oaf, another a perpetually giggly fire-starting sociopath, and the last one a scrap and scab junk yard dog type. Victor grabs Stan's yarmulka and tosses it into the window of a departing bus. ",-0.0625
VICTOR,Scene,"Frisbee, fuck nut. Snatch burps in Eddie's face. Eddie wilts under the smell. Will scoops up the remains of Richie's glasses, smashed by the bus. ",-0.4
WILL,Character,"You suck, Bowers! Travis and his goons turn. They glare at Will menacingly. ",-1.0
TRAVIS,Character,"You say something? Everyone around them stops and watches, waiting for Will to respond. Eddie gives Will a look to shut it. He does. ",0.0
TRAVIS (CONT'D),Scene,"Thought so. You got a free ride this year because of your little brother. But ride's over, Denbrough. ",0.10625000000000001
(MORE),Scene,12. ,0.0
TRAVIS (CONT'D),Scene,"This summer's gonna be a hurt train, for you and your faggot friends. (to Snatch and Victor) Let's roll. We got a lard ass to find. ",0.0
EMERGENCY EXIT - DERRY HIGH SCHOOL - DAY,Scene,"A door opens by the dumpsters and out peaks BEN HANSCOM (13), the ""lard ass"" in question, making sure the coast is clear. He wears an oversized sweatshirt and a pair of girly high- waisted blue jeans. ",0.19
BEVERLY,Character,"Soooo, you gonna let me go by or is there a secret password or something? He turns to see Beverly. ",-0.4
BEN,Character,"Sorry. He steps aside. Beverly tip-toes past, lighting a cigarette like a pro. ",-0.375
BEVERLY,Character,"""Sorry""'s not much of a password. Now ""kittyhawk,"" that's a good one. ",0.033333333333333326
BEN,Character,Ballyhoo? ,0.0
BEVERLY,Character,Riproar. ,0.0
BEN,Character,Barnburner. Beverly smiles and offers Ben a smoke. He refuses. She shrugs and blows a smoke ring in his face. ,0.1
BEVERLY,Character,"If you're worried about Bowers and his merry band of a-holes hassling you, don't. I saw them all leave out front. ",0.0
BEN,Character,Thanks. 13. ,0.2
BEVERLY,Character,You're the new kid right? I'm-- ,0.21103896103896103
BEN,Character,,0.0
(BLURTING),Scene,Beverly Marsh. A little too quick. His ears turn red with embarrassment. ,0.048611111111111105
BEN (CONT'D),Scene,"I just know `cuz we were in social studies. Together, in the same class. You know, like the constitution test, and stuff. (realizing he's vomiting ",0.016666666666666666
NONSENSE),Scene,"I'm Ben. Bev smiles, knowingly. It's clear he likes her. Ben notices a FAINT YELLOW BRUISE on her forearm. Bev notices him noticing. ",-0.13333333333333333
BEVERLY,Character,(off Ben's look) I slipped in the shower. What's your excuse? ,-0.05
BEN,Character,I fell on three boxes of donuts. Beverly laughs. ,0.0
BEVERLY,Character,"Well, see ya around Ben from sosh class. ""Get laid in the shade."" ",0.0
BEN,Character,"Uh, you too, Beverly. ""Stay cool."" Ben watches her go, totally smitten. ",0.175
BEVERLY,Character,,0.0
K.I.T.,Scene,,0.0
WILL DENBROUGH'S HOUSE - DAY,Scene,Dust collects on the piano in the living room. A stale quiet suffocates the house. The only sound the ticking of a clock and the distant yelling of playing children. 14. ,-0.039999999999999994
WILL DENBROUGH'S HOUSE - WILL'S ROOM - SAME,Scene,"Will Denbrough laces his shoes. As he leaves his room, he notices the door to George's room is open, his FATHER, ZACH DENBROUGH (30s), lost in thought notices him. ",0.0
ZACH,Character,,0.0
(WITHOUT EMPHASIS),Scene,Hey Champ. Going out to play? ,0.0
WILL,Character,"Yeah, Dad. Will looks like he wants to say more, but doesn't have the words to articulate it. ",0.35
"WILL DENBROUGH'S HOUSE, LIVING ROOM - DAY",Scene,"Jumping down the stairs and rounding the corner, he sees his catatonic Mother, silhouetted by the midday light, sitting in the darkness, staring blankly at the piano. ",0.08148148148148147
WILL,Character,"Hi, Ma. Growing accustomed to his parent's lack of communication, he sifts through a PILE OF UNOPENED MAIL on the dining table and finds his report card. Opens it. All A's. ",0.0
WILL (CONT'D),Scene,I got my report card. He holds the paper limply in his hands. She doesn't acknowledge him and instead gets up and slides the doors shut to the piano room. ,-0.2
EDDIE KASPBRAK'S HOUSE - DAY,Scene,"Eddie, Richie, Will, and Stan scramble in the front door like feral animals. An enormous 300-pound woman sits in the living room doing a puzzle on her own stomach. SONIA KASPBRAK (40s). ",0.3
EDDIE,Character,Hi Mom. ,0.0
WILL,Character,Mrs. Kaspbrak. ,0.0
RICHIE,Character,Ma'am. 15. ,0.0
EDDIE'S KITCHEN - DAY,Scene,"They raid the kitchen, stuffing Capri Suns, Ding Dongs, whatever snacks they can find into their backpacks. Mrs. Kaspbrak calls from the room. ",0.0
MRS. KASPBRAK,Character,"Eddie-bear, where are you boys off to? ",0.0
RICHIE,Character,Eddie-bear? Will elbows him. ,0.0
WILL,Character,"Just my backyard, Mrs. K. We got a new, uh, badminton set. ",0.13636363636363635
MRS. KASPBRAK,Character,"Okay. Just don't go rolling around too much on that grass, sweetie. Especially if it's just been cut. You know how your allergies get. ",0.2333333333333333
EDDIE,Character,"Yes, ma. ",0.0
MRS. KASPBRAK,Character,"Isn't he cute, boys? So cute. She wiggles her fat toes at him. He's mortified. ",0.5
WILL,Character,"Cutest boy we know, Mrs. Kaspbrak. ",0.0
RICHIE,Character,The Miss America of cute boys. Seriously. ,0.08333333333333334
EDDIE,Character,Bye ma. Fast as they came the boys blow out the front door. ,0.2
STREET IN FRONT OF LIBRARY - DAY,Scene,"Will, Rich, and Eddie speed past the library. 16. ",0.0625
PUBLIC LIBRARY - DAY,Scene,"All green globes, curving iron staircases, and shadowy charm. A librarian, MRS. STARRET (50s) places a stack of books in front of Ben. ",-0.2
MRS. STARRET,Character,Isn't it summer vacation? I would think you'd be ready to take a break from the books. ,0.2
BEN,Character,"I like it in here. It's-- He glances at a newspaper behind her: ""BODY FOUND NEAR CANAL NOT THAT OF COEN YOUTH, BORTON ANNOUNCES."" Safe. ",0.06666666666666665
BEN (CONT'D),Scene,Inspiring. Mrs. Starret smiles sweetly at this large boy. ,0.3547619047619048
MRS. STARRET,Character,"Well, even with all this terrible disappearing of kids business, a boy should be with his friends, outside, having fun. She starts stamping his books.      CHUCHUNP. ",-0.2333333333333333
BEN,Character,,0.0
(EMBARRASSED),Scene,"I'll try, Mrs. Starret. ",0.0
CHUCHUNP.   CHUCHUMP.,Scene,,0.0
MRS. STARRET,Character,What are all these for anyway? ,0.0
CHUCHUMP.,Scene,,0.0
BEN,Character,I'm reading about the history of this place. You know how many spooky things have-- ,0.5
ONE-ARMED OLD MAN,Character,"Excuse me, miss? A ONE-ARMED OLD MAN comes up behind them wearing a U.S.S. Indianapolis cap. ",-0.11666666666666668
ONE-ARMED OLD MAN (CONT'D),Scene,Where's the children's section? 17. CHUCHUMP.   Mrs. Starret slides Ben his stack of books. ,0.0
"BEVERLY'S HOUSE, KITCHEN - DAY",Scene,"Beverly opens her fridge. There's nothing in it but a plastic jug of margarine, some half-molded white bread, and suspect milk. She sniffs the milk. ",0.0
"BEVERLY'S HOUSE, LIVING ROOM - MOMENTS LATER",Scene,"Beverly sips the milk, leaving a wholesome white mustache on her upper lip. She looks up to see... Her Mother, MRS. MARSH (30s), a former prom queen long since faded, watching her. Studying her. ",-0.0125
MRS. MARSH,Character,Bev. ,0.0
BEVERLY,Character,"Yeah, Mommy? Mrs. Marsh sounds like she might be on sedatives. ",0.0
MRS. MARSH,Character,"You had your monthly, yet? ",0.0
BEVERLY,Character,What Mommy? ,0.0
MRS. MARSH,Character,"Bleeding, between your legs? Disgusted, Beverly shrinks. ",-1.0
BEVERLY,Character,No.    Why? ,0.0
MRS. MARSH,Character,"Soon, soon I figure.       And then you'll be a woman. She sits down next to Beverly, grasping with her clammy palms Beverly's free hand. ",0.08148148148148147
MRS. MARSH (CONT'D),Scene,"When it happens, once every 27 days, you'll bleed, and you'll bleed the most right before the end. 18. Beverly, squeamishly tries to remove her hand from her mother's, but the harder she pulls away the harder the Mother holds onto her. ",0.09714285714285716
MRS. MARSH (CONT'D),Scene,I want you to go to the pharmacy today. To be prepared. You'll need to buy these. Mrs. Marsh holds up a BLOODY TAMPON from a string. ,-0.8
DERRY SYNAGOGUE - DAY,Scene,The Rabbi and Stan read the TORAH. Stan is repeating and learning pronunciation of the words for his Bar Mitzvah. He starts to lose attention as he looks around the ornate room and the beams of light fingering out from the windows. ,0.4
RABBI,Character,Are you paying attention? ,0.0
STAN,Character,"Yes, sir. ",0.0
RABBI,Character,"Pay attention, son. This is important. This is about you becoming a man. ",0.42500000000000004
STAN,Character,I am. I'm taking this very seriously Rabbi. The Rabbi removes his glasses and looks at Stan.   His thoughts carry him away. ,-0.43333333333333335
RABBI,Character,"Not everyone gets this opportunity, Stanley. Stanley nods. ",0.0
RABBI (CONT'D),Scene,"My son, God bless him, might never get a bar mitzvah. Do you realize that? The Rabbi squares up to Stanley, holding both of his shoulders. 19. ",0.0
RABBI (CONT'D),Scene,"We may never see him again, he may be dead now. And death is forever, Stanley, you don't come back from death. Stanley nods as the Rabbi starts to tear up. He pulls Stanley in close to him, as if Stanley were his own long lost son. Stanley, pressed against the Rabbi can hardly breath. ",0.011666666666666659
STAN,Character,"Rabbi, I need to go pee. The Rabbi cries. ",0.0
STAN (CONT'D),Scene,"Rabbi, can I go pee please? The Rabbi stops, distances himself from Stan again and looks deep into his eyes. ",0.0
RABBI,Character,Of course. He lets him go. ,0.0
"DERRY SYNOGOGUE, DOWNSTAIRS - MOMENTS LATER",Scene,"Stanley walks down the old, molding stone stairs to the basement of the synogogue. It's a rounded staircase that spirals into the deeper foundations of the building. He can't find the bathroom, but he does see the Mikveh--a cleansing room for the women of a synogogue during their monthlies. It drips water and is lit by a spare light bulb. ",0.11481481481481481
"SYNOGOGUE, MIKVEH - SAME",Scene,"Stanley walks in, knowing no one is watching him and unzips his pants to relieve himself in the pool of water. Suddenly, he notices something bubbling from below.   A NAKED WOMAN, her pale white skin glowing from the light. He backs away and quickly zips up his pants. The woman rises to the surface, exhaling a long held breath of air. She dries the water from her eyes and looks at Stanley, not at all bothered by her nakedness or Stanley's witnessing of it. 20. ",0.06761904761904762
NAKED WOMAN,Character,You like looking at my body? ,0.0
STAN,Character,,0.0
I... I.,Scene,,0.0
NAKED WOMAN,Character,"It's okay, I won't tell anyone. She looks down towards her privates, still below the water. ",0.17222222222222222
NAKED WOMAN (CONT'D),Scene,"Do you want to see the rest of me? Her hands slowly move towards her pussy, touching herself. Stanley starts to back away. ",0.06666666666666665
STAN,Character,I should probably be getting back- ,0.0
NAKED WOMAN,Character,"You're going to be a man soon, won't you? I'll show you mine if you show me yours. She starts to get out of water. ANGLE FROM BEHIND her as she steps out of the water, towards him. The naked woman's back is full of sores and bleeding, her butt shredded and rotten. And as she rises from the water, we see that her legs have been reduced to bones and gristle. ",-0.012500000000000011
NAKED WOMAN (CONT'D),Scene,"Come here Stanley, come float with me. Stanley trips over himself back peddling. He turns around and jets out of the room just as the naked woman lunges. ",0.0
"DERRY SYNOGOGUE, MAIN FLOOR - SECONDS LATER",Scene,"Stanley runs up and into the arms of DORSEY COEN'S MOTHER, breathless. He looks up at her and SCREAMS and runs out of the building. The Mother looks at the Rabbi, perplexed. He shrugs and cleans up from their study session. ",0.4
PUBLIC LIBRARY - DAY,Scene,"Ben sits at a table of six by himself, flipping through books on DERRY'S HISTORY. 21. ",0.0
"INDIANS, COLONIZATION, DISAPPEARING SETTLEMENTS, LOGGING,",Scene,"MURDERS, MASSACRES, it gets more and more violent. Glancing up, he sees... The one-armed old man plunk a NICKEL into a jar and take a STAMPED POST CARD from a tray by the door. A poster there ",0.07499999999999998
READS:,Character,,0.0
LIBRARIES ARE FOR WRITING TOO.,Scene,,0.0
WHY NOT WRITE A FRIEND TODAY?,Scene,,0.0
PUBLIC LIBRARY - LATER,Scene,"Ben sits on the steps, POSTCARD in his lap. He clicks a pen open and, brow furled in concentration, dashes off a HAIKU. ",0.0
BEN,Character,"(whispering it outloud) Your hair is winter fire, ",0.0
JANUARY EMBERS,Character,"My heart burns there, too. ",0.0
CANAL STREET - LATER,Scene,"Ben is about to the drop the postcard into a MAILBOX when has second thoughts. He holds it just over the slot. We see that it's addressed to: MISS BEVERLY MARSH, LOWER MAIN STREET, DERRY MAINE, ZONE 2. Ben closes his eyes, steels his courage ",0.08333333333333333
AND LETS GO.,Scene,,0.0
TRAVIS (O.C.),Scene,"Hello hot tits. Travis, Snatch, Hockstettler, and Victor prowl toward him. Ben bolts, ass swinging back and forth like a girl. Travis and his gang take off after him... ",0.125
KANSAS STREET - CONTINUOUS,Scene,"It's no contest. Ben rounds the corner and just makes THE KISSING BRIDGE, a historic covered wooden bridge carved with thousands of hearts crossing right where the canal turns into the wild, untamed barrens, KENDUSKAEG STREAM rushing below. ",0.09642857142857142
TRAVIS,Character,"Gotcha! They snag Ben and fling him against the railing. Travis flips up his sweatshirt, exposing his fat belly, and slaps it hard. Ben screams like a rabbit, whipsawing back and forth. 22. ",-0.14583333333333334
SNATCH,Character,Look at that gut! ,0.0
VICTOR,Scene,Sounds like a pig. Don't he sound just like a pig? Victor SQUEALS like a pig in Ben's face. ,0.4
BEN,Character,"You better quit, I swear. Travis pulls a BUCK KNIFE from his jeans. Ben's eyes go wide. ",0.2
TRAVIS,Character,"Or what? You'll go crying to mama? I'll give you something to cry about. Ben looks around for help. A CAR comes slowly down the street. Travis hides the knife, pressing its steel against Ben's white belly. ",-0.11851851851851854
TRAVIS (CONT'D),Scene,"Go ahead. Yell. You'll be picking your fucking intestines off your sneakers. The OLD COUPLE behind the wheel CATCH EYES WITH BEN, see his tears, and STEP ON THE ACCELERATOR. Ben sees A CLOWN riding in the back seat, grinning -- PENNYWISE. ",-0.225
TRAVIS (CONT'D),Scene,"Okay, tits. It's exam time. First question: when I say `Let me copy' during finals what do you say? ",0.375
BEN,Character,Yes! I say yes! Okay! Copy all you want! ,0.78125
TRAVIS,Character,That's good. Now how can we make sure that sticks? ,0.6
BEN,Character,,0.0
I DON'T--,Scene,"In two quick motions Travis SLASHES A BRIGHT RED ""T"" in Ben's belly. Snatch and Victor laugh.    Hockstettler pulls out his lighter and a can of hairspray. 23. ",0.33333333333333337
HOCKSTETTLER,Character,"Let me light his head on fire like Michael Jackson. Hockstettler jettisons a fireball with his make-shift flame thrower, just past Ben's head. ",0.07500000000000001
TRAVIS,Character,"No! Hold him. I'm gonna carve my entire name on his cottage cheese filled ass. Ben is too shocked to scream. He looks over his shoulder at the stream behind him, then back at Travis's bloody blade. ",-0.25
TRAVIS (CONT'D),Scene,"Now say it with me. What comes after T? Ben plants his heel in Travis's chest and launches himself backward over the railing, out of the grip of Victor and Snatch. Travis is knocked back on his ass onto the pavement. ",0.0
KENDUSKAEG STREAM - CONTINUOUS,Scene,"Ben tumbles down the culvert, fetching up hard against a fallen tree. He picks himself up, eye to eye with ",-0.22361111111111115
A HUB CAP,Character,,0.0
